id_caso,marca,modelo,anio,kilometraje,ultimo_mantenimiento,rpm,presion_aceite,temperatura_motor,nivel_combustible,voltaje_bateria,velocidad,descripcion_sintomas,falla_principal,subfalla,nivel_gravedad,posibles_soluciones
1,Toyota,Corolla,2015,86500,2024-02-10,3000,38,92,45,13.6,60,"Ruido metálico al acelerar y pérdida de potencia",Motor,Bujías desgastadas,Moderada,"Reemplazar bujías y verificar bobinas"
2,Nissan,Sentra,2018,54000,2024-01-22,,,,,12.6,0,"Pedal de freno se hunde y pérdida de presión",Frenos,Fuga en cilindro maestro,Crítica,"Reemplazar cilindro maestro y purgar sistema"
3,Hyundai,Elantra,2017,72000,2023-12-05,2200,40,95,30,,50,"Motor se apaga en ralentí y ralentí inestable",Motor,Sensor IAC (ralentí),Moderada,"Limpiar o reemplazar válvula IAC; revisar inyectores"
4,Kia,Rio,2019,46000,2024-03-01,,,,,12.5,20,"Vibración al frenar, chirrido en rueda derecha",Frenos,Pastillas desgastadas,Moderada,"Cambiar pastillas y verificar discos"
5,Chevrolet,Cruze,2016,99500,2023-11-11,2500,30,105,20,11.8,40,"Sobrecalentamiento en carretera y pérdida de refrigerante",Refrigeración,Radiador o termostato,Crítica,"Revisar/limpiar radiador; reemplazar termostato si aplica"
6,Toyota,Yaris,2020,38000,2024-03-15,,,,,12.7,0,"Freno con respuesta esponjosa tras frenadas largas",Frenos,Aire en circuito,Moderada,"Purgar sistema de frenos y revisar línea por fugas"
7,Honda,Civic,2014,120000,2023-10-02,2300,37,85,50,12.0,70,"Pérdida de potencia en subida, tirones",Motor,Filtro de aire obstruido,Leve,"Cambiar filtro de aire; revisar admisión"
8,Volkswagen,Gol,2013,130000,2022-09-17,,,,,11.6,45,"Golpeteo trasero al pasar baches",Suspensión,Amortiguadores dañados,Moderada,"Reemplazar amortiguadores y revisar bujes"
9,Nissan,Versa,2021,21000,2024-04-12,1100,43,87,70,,30,"Tironeos al acelerar y humo azul",Motor,Inyectores sucios,Moderada,"Limpiar inyectores; prueba de inyección"
10,Hyundai,Tucson,2019,59000,2024-02-18,2600,39,97,35,,65,"Olor a aceite quemado y leve humo",Motor,Fuga en tapa de válvulas,Moderada,"Reemplazar empaques y limpiar zona; verificar nivel aceite"
11,Kia,Sportage,2017,80000,2023-08-25,2000,55,102,25,,50,"Cambios bruscos en la caja y retraso al acelerar",Transmisión,Embrague desgastado,Moderada,"Reemplazar disco de embrague; revisar sincronización"
12,Chevrolet,Onix,2020,22000,2024-03-30,,,,,12.7,15,"Testigo de batería encendido y arranque débil",Eléctrico,Alternador defectuoso,Crítica,"Reemplazar alternador; probar carga de batería"
13,Honda,Fit,2015,91000,2023-12-28,,,,,12.2,20,"Ruido metálico al girar a la derecha",Suspensión,Rótula desgastada,Moderada,"Cambiar rótula y revisar brazo de suspensión"
14,Toyota,Avanza,2016,102000,2023-11-01,1900,32,94,30,,55,"Arranque difícil en frío y pérdida de chispa",Motor,Bujías deterioradas,Leve,"Reemplazar bujías y comprobar estado bobinas"
15,Nissan,Kicks,2021,30000,2024-04-05,,,,,12.8,20,"Frenos rechinan en uso normal",Frenos,Pastillas cristalizadas,Moderada,"Cambiar pastillas y verificar discos"
16,Hyundai,Accent,2018,64000,2024-01-11,2700,33,101,30,,60,"Motor tiembla al ralentí y vibración",Motor,Soporte de motor roto,Moderada,"Sustituir soporte de motor"
17,Kia,Picanto,2014,115000,2023-10-10,,,,,11.7,45,"Temperatura sube en tráfico lento",Refrigeración,Electroventilador no funciona,Crítica,"Revisar y reemplazar motor o relay del ventilador"
18,Honda,CR-V,2019,48000,2024-02-15,,,,,12.6,50,"Volante duro al maniobrar y ruido en dirección",Dirección,Bomba de dirección baja,Moderada,"Revisar nivel y bomba; reparar/recambiar bomba si es necesario"
19,Chevrolet,Spin,2017,70000,2023-12-02,1500,41,86,50,,30,"Demora en respuesta del acelerador y tirones",Motor,Sensor TPS defectuoso,Moderada,"Sustituir sensor TPS y recalibrar"
20,Toyota,Rav4,2016,92000,2023-11-20,,,,,12.3,70,"Freno rechina y freno humeante tras uso",Frenos,Discos recalentados,Crítica,"Rectificar o cambiar discos y revisar pastillas"
21,Nissan,Tiida,2012,140000,2023-05-10,2200,28,110,15,,40,"Humo blanco persistente al encender",Motor,Junta de culata dañada,Crítica,"Reemplazar junta; revisar culata y compresión"
22,Honda,City,2018,58000,2023-12-14,,,,,12.5,30,"Vibración en autopista a 100 km/h",Suspensión,Desbalance de ruedas,Leve,"Alinear y balancear ruedas"
23,Toyota,Etios,2014,110000,,1700,30,98,25,,35,"Pérdida de frenado ocasional y esponjamiento",Frenos,Bomba de freno débil,Crítica,"Reemplazar bomba y purgar sistema"
24,Kia,Carens,2016,87000,2023-09-19,2600,39,93,30,,50,"Check engine y pérdida de potencia",Motor,Bobina defectuosa,Crítica,"Cambiar bobina y verificar sistema de encendido"
25,Hyundai,Sonata,2015,99000,,1500,45,87,45,,20,"Golpeteo al pasar baches y ruido frontal",Suspensión,Bujes gastados,Moderada,"Reemplazar bujes y revisar anclajes"
26,Chevrolet,Tracker,2019,42000,2024-03-25,2300,43,90,75,,60,"Jalón al cambiar de marcha",Transmisión,Solenoide de cambios,Moderada,"Reemplazar solenoide; servicio de caja"
27,Nissan,March,2013,135000,2023-06-30,900,25,95,15,,30,"Ralenti inestable y apagones",Motor,Sensor MAP sucio,Leve,"Limpiar sensor MAP y revisar admisión"
