marca,modelo,anio,km,ultimo_mantenimiento,presion_aceite,rpm,temperatura_motor,descripcion,falla
Toyota,Corolla,2016,86500,120,38,2800,92,"Ruido metálico en el eje trasero al frenar","pastillas_freno_desgastadas"
Nissan,Sentra,2018,74500,90,42,3200,96,"Vibración al acelerar y olor a quemado","embrague_desgastado"
Hyundai,Elantra,2020,42000,60,48,2500,95,"Pérdida de potencia y vibración en ralentí","bujias_o_bobinas"
Chevrolet,Spark,2017,70000,150,60,1500,80,"Ruido fuerte al frenar en la llanta derecha","pastillas_freno_desgastadas"
Ford,Focus,2019,54000,100,52,2200,92,"Humo negro al encender el motor","inyeccion_combustible"
Kia,Rio,2016,97000,300,28,1800,105,"Aumento de temperatura y olor a quemado","ventilador_radiador"
Mazda,3,2021,35000,60,55,2300,85,"Ralenti inestable y luz check encendida","sensor_oxigeno"
Volkswagen,Gol,2014,130000,400,40,2800,110,"Ruido al girar el volante","bomba_direccion"
Honda,Civic,2018,80000,140,58,2100,88,"Tirones al acelerar en carretera","problemas_transmision"
Suzuki,Swift,2019,65000,120,54,2000,89,"Olor a combustible dentro del vehículo","fuga_combustible"
Renault,Logan,2015,110000,220,35,2400,99,"Motor sobrecalienta luego de 20 min de uso","termico_o_radiador"
Peugeot,208,2020,36000,80,50,2100,90,"Perdida de potencia y tirones","problemas_inyeccion"
Seat,Ibiza,2017,92000,200,45,2600,102,"Fuga de aceite visible por debajo del coche","fuga_aceite"
Fiat,Punto,2016,105000,250,30,2000,98,"Dificultad para arrancar en frio","bateria_o_alternador"
BMW,320i,2019,48000,95,62,3000,95,"Luz de motor encendida y pérdida de torque","sensor_masaflujo"
Mercedes,C180,2018,76000,130,59,2700,93,"Ruido al desacelerar y vibración","soportes_motor"
Audi,A3,2017,85000,170,44,2900,97,"Freno humeante tras uso prolongado","freno_sobrecalentado"
Opel,Corsa,2015,125000,260,33,2300,101,"Golpeteo en la suspensión al pasar baches","amortiguadores_danados"
Chevrolet,Optra,2014,140000,360,28,2500,108,"Aumento repentino de temperatura y pérdida de refrigerante","perdida_refrigerante"
Toyota,Avanza,2016,99000,210,41,2200,94,"Ralentí irregular y apagones","sensor_aire_combustible"
